seed,step,return
1,0,0
1,20000,475
1,40000,852
1,60000,923
1,80000,964
1,100000,978
1,120000,956
1,140000,979
1,160000,943
1,180000,977
1,200000,983
1,220000,977
1,240000,982
1,260000,984
1,280000,957
1,300000,989
1,320000,977
1,340000,988
1,360000,980
1,380000,988
1,400000,983
1,420000,973
1,440000,982
1,460000,984
1,480000,983
1,500000,968
2,0,0
2,20000,557
2,40000,779
2,60000,833
2,80000,896
2,100000,954
2,120000,948
2,140000,968
2,160000,973
2,180000,929
2,200000,979
2,220000,974
2,240000,984
2,260000,984
2,280000,978
2,300000,974
2,320000,979
2,340000,982
2,360000,981
2,380000,739
2,400000,989
2,420000,978
2,440000,965
2,460000,979
2,480000,982
2,500000,984
3,0,1
3,20000,287
3,40000,735
3,60000,844
3,80000,950
3,100000,971
3,120000,984
3,140000,979
3,160000,987
3,180000,983
3,200000,976
3,220000,982
3,240000,983
3,260000,984
3,280000,986
3,300000,987
3,320000,989
3,340000,987
3,360000,986
3,380000,982
3,400000,984
3,420000,984
3,440000,982
3,460000,986
3,480000,988
3,500000,986
4,0,0
4,20000,645
4,40000,829
4,60000,944
4,80000,946
4,100000,879
4,120000,983
4,140000,987
4,160000,984
4,180000,984
4,200000,985
4,220000,946
4,240000,985
4,260000,985
4,280000,984
4,300000,980
4,320000,986
4,340000,987
4,360000,982
4,380000,985
4,400000,883
4,420000,982
4,440000,979
4,460000,884
4,480000,984
4,500000,980
5,0,0
5,20000,478
5,40000,831
5,60000,942
5,80000,954
5,100000,963
5,120000,977
5,140000,978
5,160000,981
5,180000,982
5,200000,973
5,220000,984
5,240000,982
5,260000,924
5,280000,985
5,300000,987
5,320000,985
5,340000,988
5,360000,983
5,380000,986
5,400000,983
5,420000,986
5,440000,984
5,460000,984
5,480000,985
5,500000,985